Id_Cliente,Targa,Nome,Cognome,Age,Marca,NumCilindri,Cv,Prezzo,Data_Immatricolazione,Data_Acquisto,Data_Assicurazione,Codice_Rischio
1,EV401BL,Denis,Pellegrino,82,Subaru,four,73,7053,1997/11/07,2015/11/09,2016/03/10,2
2,EF764SF,Raguele,Aiello,68,Toyota,four,112,9298,2000/03/06,2012/10/04,2014/03/21,3
3,CL202PE,Meuccia,Rossi,68,Plymouth,four,68,5572,2004/04/12,2009/09/02,2010/10/21,2
4,CJ202RO,Ellia,Sorrentino,61,Saab,four,110,12170,2004/08/13,2011/12/26,2015/05/30,1
5,DN318EU,Ezechielle,Moro,83,Mitsubishi,four,88,8499,2008/05/29,2008/11/09,2009/10/11,2
6,BY664SA,Miranda,Proietti,22,Mitsubishi,four,116,9279,2011/05/14,2016/01/31,2016/04/16,1
7,AJ255VT,Gilindo,Valentini,36,Toyota,six,161,15998,1997/10/24,2014/04/03,2015/06/03,1
8,DT406XE,Laudonia,Aiello,19,Mercedes-benz,five,123,25552,1994/10/26,2004/09/20,2007/04/15,3
9,CL853KQ,Elisabetta,Ruggeri,33,Mitsubishi,four,116,9279,2010/06/11,2013/07/11,2014/10/13,2
10,DM185IL,Marfisia,De Angelis,23,Isuzu,four,70,16500,2010/08/16,2015/01/14,2015/11/19,2
11,CC887ZR,Armellina,Giorgi,51,Mitsubishi,four,116,9279,1994/04/10,1998/07/08,2012/12/04,1
12,CL854IP,Ambrogia,Fusco,37,Volvo,six,134,21485,2001/08/22,2013/03/07,2015/01/22,3
13,EJ825MG,Roldano,Catalano,23,Volvo,four,114,15985,2012/03/13,2013/11/28,2015/02/08,2
14,DX012ZZ,Tonia,Conti,35,Subaru,four,94,10198,2003/04/11,2008/09/14,2012/05/03,3
15,AQ811PI,Carla,Rizzo,62,Subaru,four,82,9233,1991/11/26,1994/11/06,2008/05/20,1
16,EW652OA,Oreana,Conti,37,Renault,four,68,9295,1999/12/22,2011/11/13,2013/08/16,3
17,EH877GQ,Annibalina,Russo,57,Volkswagen,four,85,8195,2000/01/05,2009/05/05,2016/04/01,3
18,BM777RW,Pierina,Russo,62,Mitsubishi,four,145,14869,2008/06/06,2014/05/08,2016/02/12,1
19,BK825RS,Rondolfo,Costantini,51,Toyota,four,116,8449,1994/03/16,2013/12/04,2014/03/25,2
20,AU608DN,Avelino,Villani,87,Honda,four,86,7895,1989/06/06,2001/11/24,2002/10/10,2
21,CA554OW,Filomena,Bellini,41,Saab,four,160,18150,1995/11/18,2001/02/25,2006/02/23,2
22,BM035YS,Procopio,Cavallo,55,Chevrolet,three,48,5151,2008/05/04,2012/07/17,2012/11/30,1
23,AC476MS,Niccolino,Aiello,73,Toyota,four,62,7898,1996/06/12,2006/06/29,2013/12/02,3
24,CU225MY,Mema,Pastore,77,Nissan,six,152,13499,1998/12/07,1999/10/20,2001/08/05,3
25,CH603MK,Ansalda,Fabbri,41,Mazda,two,101,11845,2000/10/05,2006/07/26,2013/08/21,2
26,AS836NS,Sisino,Mazza,79,Subaru,four,82,7775,2003/05/13,2013/08/21,2015/03/11,2
27,BU514DB,Gernando,Arena,66,Mercedes-benz,five,123,28176,1998/09/28,2012/06/10,2015/06/20,1
28,EB357CZ,Oviedo,Fusco,77,Toyota,four,62,7898,2004/04/07,2013/10/07,2015/06/26,2
29,DL156KN,Agatino,Castelli,66,Dodge,four,68,7609,1995/01/08,1996/02/03,2012/04/14,1
30,DJ675GF,Alba,Ferrari,86,Subaru,four,73,7053,1993/06/02,1994/03/24,2013/12/05,1
31,BZ277WM,Genio,Fumagalli,42,Nissan,six,160,17199,1989/05/13,1995/03/22,2008/12/28,1
32,AX466EL,Melchidesecco,Fusco,79,Audi,five,110,17710,1991/11/19,2010/05/11,2013/07/19,2
33,BW622MR,Delizia,Pagano,59,Mazda,four,64,10795,2001/07/06,2004/07/29,2015/03/23,1
34,BO210FK,Pace,Cirillo,52,Isuzu,four,70,16500,2008/11/10,2015/06/05,2015/11/03,2
35,DY084WJ,Olina,Calabrese,53,Toyota,six,161,16558,2006/11/06,2007/02/02,2011/03/18,3
36,BX825XS,Alvisia,Castelli,39,Peugot,four,97,16630,2003/09/25,2015/05/21,2015/09/24,2
37,DA226XE,Dalmazio,Napolitano,30,Honda,four,76,6529,1995/05/16,1996/06/19,2012/03/11,3
38,CH012VQ,Poliuto,Montanari,85,Saab,four,110,15510,2002/06/02,2006/10/06,2007/06/28,3
39,EC208WQ,Ola,Palmieri,54,Volkswagen,four,88,12290,1999/08/01,2011/06/27,2015/09/19,3
40,EH326ZE,Numitore,Donati,72,Audi,five,160,16500,1999/06/08,2000/04/06,2000/04/08,3
41,AZ313IC,Uguccione,Rinaldi,50,Peugot,four,95,16695,2005/06/24,2008/10/18,2014/02/24,3
42,CC841EZ,Liberino,Silvestri,68,Nissan,four,55,7099,1998/03/13,2002/07/18,2013/07/06,3
43,CT772VA,Elzo,Rizzo,35,Volvo,four,114,16845,2001/04/29,2005/07/28,2010/11/06,3
44,CR421CC,Reggio,Fabbri,60,Mazda,four,84,10595,2003/05/20,2004/03/25,2010/03/07,3
