Targa,Nome,Cognome,Age,Marca,NumCilindri,Cv,Prezzo,Data_Immatricolazione,Data_Acquisto,Data_Assicurazione
BT746ZV,"Fioralice","Bianchi",27,Volvo,four,114,"15985",2002/08/23,2009/01/21,2010/03/16
EN680RY,"Giammarco","Cavallo",68,Honda,four,76,"7295",2004/04/16,2010/01/26,2014/11/23
ES277WW,"Rubina","Morelli",28,Saab,four,110,"11850",1993/05/13,2000/09/07,2003/12/25
DA241LC,"Corradino","Ricciardi",65,Porsche,six,207,"34028",2000/06/12,2001/01/17,2014/08/03
EB174WK,"Ermelino","De Rosa",20,Subaru,four,111,"11694",2013/06/13,2016/04/05,2016/04/09
AT718PG,"Terzio","Rizzo",83,Toyota,four,70,"7198",2000/07/28,2009/06/29,2013/01/03
AP868PR,"Oberta","Montanari",51,Plymouth,four,88,"8921",2008/12/15,2011/02/04,2011/11/25
AH061SO,"Fiammetta","Villa",81,Mazda,four,84,"8495",1992/05/01,1997/04/20,2012/04/02
CN481MS,"Nobilina","Coppola",83,Honda,four,101,"12945",1996/05/24,2012/08/23,2014/04/23
CI306CS,"Clarita","Marchetti",79,Plymouth,four,68,"7609",2000/01/20,2012/02/15,2012/05/20
EJ610MK,"Dionilla","Zanetti",62,Mitsubishi,four,88,"8189",2004/11/09,2013/01/26,2016/04/02
BV388BQ,"Generoso","Brambilla",69,Subaru,four,69,"5118",1995/05/02,1999/03/19,2005/08/22
DY222VX,"Vinca","Villa",36,Subaru,four,111,"11259",2002/05/10,2014/01/21,2014/05/11
CS658TC,"Radamesse","Farina",55,Chevrolet,three,48,"5151",2005/05/10,2012/09/02,2015/05/03
DJ571XY,"Facondina","Ferrante",49,Mazda,four,64,"10795",1991/03/19,2005/10/18,2008/03/17
CC547QN,"Fernandino","Castelli",55,Volkswagen,four,85,"7975",2010/05/04,2013/11/22,2016/03/13
DG540VH,"Bernarda","De Angelis",86,Mercury,four,175,"16503",2004/09/03,2013/10/25,2014/09/23
DS666UB,"Nero","Santini",31,Mazda,four,84,"10245",2000/12/16,2016/01/11,2016/02/21
CK238ID,"Ferrante","Fumagalli",39,Mitsubishi,four,116,"9959",1993/07/06,2009/01/17,2011/01/26
DV765BI,"Battistino","Pellegrino",66,Toyota,six,161,"15998",2005/01/25,2005/07/30,2014/04/17
CY574AB,"Novelio","Fumagalli",49,Bmw,six,182,"36880",1996/07/29,2000/04/28,2012/12/30
BY178AQ,"Oprando","Volpe",82,Renault,four,68,"9895",2012/06/25,2013/02/07,2016/01/09
BY435TX,"Adonella","Giorgi",72,Toyota,six,161,"15998",1996/12/25,2009/01/13,2010/01/13
BO353RB,"Eliseno","Martino",70,Porsche,eight,288,"16500",2003/04/21,2013/01/25,2013/05/03
AG042DK,"Elvira","Esposito",83,Toyota,four,70,"8358",2000/09/14,2002/01/20,2014/04/16
BS621ME,"Procolo","Conti",54,Toyota,four,112,"9298",1990/06/06,2006/01/17,2011/09/18
EN756RT,"Felicetto","Donati",28,Nissan,four,69,"5499",1998/11/16,2014/05/05,2014/10/07
CQ173NN,"Guarina","Colombo",63,Plymouth,four,145,"12764",2007/04/16,2012/01/05,2012/08/18
ES840ZF,"Olimpio","Rossetti",69,Dodge,four,102,"8558",2004/10/05,2007/11/11,2010/10/31
DC785OE,"Carlino","Guidi",56,Honda,four,76,"7295",2001/06/30,2011/06/10,2016/02/22
CD357SH,"Fortura","Grimaldi",56,Peugot,four,97,"11900",2000/11/27,2004/07/11,2011/11/16
BP856EW,"Ferminia","Ferrante",34,Toyota,six,156,"15750",1992/10/12,1996/06/04,2000/08/07
CE055QT,"Vanno","Mariani",25,Toyota,four,56,"7788",2010/03/20,2011/12/05,2014/07/20
DS201IE,"Orante","De Rosa",50,Volkswagen,four,88,"12290",1999/12/06,2014/01/21,2015/07/17
CM310TR,"Angelico","Giorgi",68,Volvo,six,134,"21485",1994/09/22,2000/10/07,2004/05/16
DA657ZM,"Oriode","Baldi",75,Volvo,four,114,"13415",1991/06/22,2007/06/26,2014/05/06
BZ022ED,"Levio","Costantini",18,Renault,four,68,"9295",2005/07/18,2014/05/17,2014/06/05
CY068YD,"Algero","Bianco",64,Toyota,four,70,"8058",2003/11/08,2013/11/06,2016/01/26
EV035BL,"Archimede","Marini",79,Nissan,four,55,"7099",1991/07/11,1992/04/28,2004/01/19
EK264IJ,"Neri","Rossi",67,Toyota,four,70,"8058",2000/04/12,2009/07/10,2009/08/16
BI381KH,"Roboamo","Caputo",27,Mitsubishi,four,145,"14489",1995/12/08,2008/01/01,2012/10/22
EU377IG,"Morella","Gallo",50,Honda,four,100,"10345",2012/03/26,2014/03/18,2014/08/04
BX843GX,"Concetta","Barone",58,Nissan,six,200,"19699",1991/07/11,1997/05/28,2002/02/15
CI450IQ,"Cicita","Guidi",24,Mitsubishi,four,68,"5389",2001/01/14,2006/08/23,2012/10/09
BS672QN,"Altea","Caruso",89,Peugot,four,97,"11900",2001/08/09,2009/10/28,2012/10/06
AZ551ON,"Romo","Di Stefano",77,Toyota,four,70,"9258",1995/10/31,2001/09/17,2012/05/21
CO653XP,"Fiorentina","Baldi",30,Dodge,four,68,"6692",2001/09/19,2009/01/14,2010/09/20
EA476IX,"Vivio","Volpe",21,Mitsubishi,four,88,"8189",2011/06/22,2013/03/23,2014/06/25
AG343GQ,"Romeno","Pace",82,Toyota,four,56,"7898",2012/03/21,2015/06/24,2016/02/18
DK552ZT,"Flaviana","Gargiulo",46,Volvo,four,114,"12940",1994/11/18,2009/07/25,2012/07/05
CE784HB,"Goretta","Giuliani",67,Isuzu,four,70,"16500",1997/02/25,2004/06/24,2013/01/21
BF642DE,"Ognibene","Ferrante",66,Volkswagen,four,85,"8195",2007/12/10,2014/03/31,2015/08/06
BR176KR,"Edilberto","Grasso",40,Volvo,four,114,"15985",2002/04/26,2002/12/27,2014/05/24
BR254WG,"Santarella","Cirillo",35,Mazda,two,101,"10945",2008/02/15,2009/03/24,2011/07/06
